id,pillar,format,hook,concept,cta,status
T1,mission,reel-text,"You don't need a new you. You need 1% today.","Teaser 1 - mission manifesto (see plan/scripts/teasers-1-4.md)",Follow the build,post-first
T2,product-in-motion,reel-screenrec,"The whole app is one question.","Teaser 2 - what the app helps you do",Link in bio,post-second
T3,accountability,carousel,"Willpower fails. Your circle doesn't.","Teaser 3 - accountability circle explainer",Save + link in bio,post-third
T4,early-access,reel-text,"We're letting in the first 100.","Teaser 4 - canary early access",Comment 1% / link in bio,post-fourth
1,product-in-motion,reel-screenrec,"Doing this 1% thing for 30 days did this ->","Screen recording: streak counter climbing + progress line bending upward, fast cut",Follow for the 30-day build,idea
2,education,carousel,"1% better daily = 37x in a year. Here's the math.","6-slide carousel: the compounding curve, one number per slide",Save this,idea
3,product-in-motion,reel-screenrec,"You don't need discipline. You need this.","Screen recording of the core loop / the daily 1% confirmation moment",Try it - link in bio,idea
4,text-hook,reel-text,"POV: you stopped chasing 100% and did 1% instead","Text on ambient product B-roll",Follow along,idea
5,proof-data,reel-screenrec,"What 1% looks like day 1 vs day 30","Split screen of app data state early vs later",Follow the build,idea
6,text-hook,reel-text,"Everyone quits at week 2. Here's the fix.","Text hook -> cut to product solving the drop-off",Save for week 2,idea
7,education,carousel,"5 tiny habits that compound","Carousel, one habit per slide, product screenshot as slide 6",Save + follow,idea
8,product-in-motion,reel-screenrec,"The most satisfying 3 seconds of my day","Screen recording of the completion/streak animation",Link in bio,idea
9,proof-data,reel-text,"30 days of 1%. Here's the graph.","Progress graph reveal, no face, numbers only",Follow for day 60,idea
10,text-hook,reel-text,"Save this before your next workout","Quick text tip over product B-roll",Save this,idea
11,education,reel-text,"Why motivation fails and systems win","Text explainer -> product as the system",Follow along,idea
12,product-in-motion,reel-screenrec,"Setting up in 20 seconds","Screen recording of first-run setup (ties to activation event)",Get it - link in bio,idea
13,collab,reel-collab,"[micro-creator] tries the 1% method for a week","Collab post with a fitness micro-account (their face, shared to both)",Follow both,idea
14,proof-data,carousel,"My streak, unfiltered","Screenshots of real streak/progress states over time",Save + follow,idea
15,text-hook,reel-text,"The 1% rule beat my New Year's resolution","Relatable text hook over screen recording",Follow the build,idea
